STYLE	QUALITY	YEAR_BUILT	GLA	BSMT	Open Porch/deck/Roof Only	COV Porch&Deck	Enclosed	Foundation	Garage	Carport
9614	1	1973	672	0	256	48	NULL	1507	NULL	NULL
9614	2	1974	938	0	NULL	144	144	1507	NULL	NULL
9614	2.5	1987	1064	0	NULL	112	NULL	1507	NULL	NULL
9612	1	1969	902	0	NULL	NULL	160	1513	NULL	2004
9612	3	1983	980	0	240	25	NULL	1560	NULL	NULL
9612	1	1975	952	0	NULL	192	NULL	1510	NULL	NULL
9724	4	2005	1976	0	300	384	NULL	1559	NULL	NULL
9724	3.5	1981	1344	0	160	NULL	NULL	1507	NULL	NULL
9724	3.5	1981	1848	0	NULL	360	300	1560	NULL	NULL
9724	3.5	1981	1620	0	NULL	701	NULL	1560	NULL	NULL
9612	2	1976	1300	0	NULL	NULL	NULL	1559	NULL	NULL
9612	1	1966	600	0	NULL	150	NULL	1560	NULL	NULL
9612	3	1983	840	0	30	NULL	NULL	1559	NULL	NULL
9724	2.5	1972	1344	0	120	NULL	NULL	1560	NULL	NULL
9724	2	1976	1064	0	16	NULL	NULL	1511	NULL	NULL
9724	2	1972	1344	0	NULL	28	NULL	1560	NULL	NULL
9724	4.5	2000	1631	0	252	72	NULL	1559	864	NULL
9724	3.5	1979	1440	0	NULL	352	NULL	1560	NULL	NULL
9724	4	1998	1680	0	360	NULL	NULL	1559	NULL	NULL
9724	4	1995	1792	0	170	NULL	NULL	1560	NULL	NULL
9724	4	1996	1782	0	16	320	NULL	1560	NULL	NULL
9724	2.5	1972	1510	0	NULL	NULL	NULL	NULL	NULL	NULL
9836	4.5	1999	2945	0	NULL	570	NULL	1559	NULL	NULL
9612	2.5	1980	1184	0	484	NULL	NULL	1507	NULL	NULL
9724	4	1997	1848	0	36	NULL	140	1559	NULL	NULL
9836	4.5	2006	2743	0	34	NULL	NULL	1559	NULL	NULL
9724	4	1971	1344	0	NULL	NULL	NULL	1559	NULL	NULL
9612	1	1976	840	0	64	NULL	64	1510	NULL	2004
9724	3.5	1970	2016	0	NULL	168	NULL	1511	NULL	NULL
9724	4	1999	1809	0	600	NULL	NULL	1559	NULL	NULL
9612	1	1972	896	0	NULL	NULL	NULL	1510	NULL	NULL
9612	2.5	1981	1202	0	NULL	70	NULL	1510	NULL	NULL
9724	4	1999	1782	0	80	NULL	NULL	NULL	624	NULL
9724	4	1995	1680	0	48	NULL	NULL	1560	NULL	NULL
9728	4	1999	1360	0	96	NULL	NULL	1510	NULL	NULL
9612	3	1975	1790	0	NULL	260	NULL	1513	NULL	2004
9724	3.5	1982	1232	0	440	160	NULL	1510	NULL	NULL
9612	2.5	1978	1120	0	160	NULL	NULL	NULL	NULL	NULL
9724	2.5	1970	1440	0	NULL	49	600	1510	NULL	NULL
9612	3	1996	896	0	112	NULL	NULL	NULL	NULL	NULL
9724	3.5	1980	1440	0	16	NULL	NULL	1559	NULL	NULL
9616	2	1960	664	0	664	NULL	NULL	1510	NULL	NULL
9724	3.5	1994	1680	0	NULL	240	64	1513	NULL	NULL
9724	2	1970	1788	0	88	160	NULL	1560	NULL	NULL
